Date,Clicks,Impressions,CTR,Position
2026-05-10,0,3,0%,7.7
2026-05-11,0,1,0%,5
2026-05-12,0,1,0%,5
2026-05-13,0,0,,
2026-05-14,1,3,33.33%,1.7
2026-05-15,0,2,0%,5
2026-05-16,0,1,0%,10
2026-05-17,0,3,0%,7.3
2026-05-18,0,0,,
2026-05-19,0,5,0%,11
2026-05-20,0,6,0%,5.5
2026-05-21,0,1,0%,9
2026-05-22,0,1,0%,28
2026-05-23,0,1,0%,10
2026-05-24,0,2,0%,9.5
2026-05-25,0,1,0%,9
2026-05-26,0,3,0%,10
2026-05-27,0,1,0%,1
2026-05-28,0,2,0%,5.5
2026-05-29,1,4,25%,10.5
2026-05-30,0,3,0%,10.7
2026-05-31,0,7,0%,8
2026-06-01,0,5,0%,8
2026-06-02,0,6,0%,6.7
2026-06-03,0,11,0%,8.2
2026-06-04,0,9,0%,8.6
2026-06-05,1,10,10%,6.7
2026-06-06,0,7,0%,7.6
2026-06-07,0,6,0%,7.3
2026-06-08,0,8,0%,9.9
2026-06-09,0,9,0%,8.6
2026-06-10,0,6,0%,6.2
2026-06-11,1,13,7.69%,7.3
2026-06-12,0,4,0%,7.2
2026-06-13,0,2,0%,7
2026-06-14,0,3,0%,10.7
2026-06-15,0,4,0%,8.5
2026-06-16,0,15,0%,8.4
2026-06-17,0,14,0%,7.1
2026-06-18,1,15,6.67%,7.7
2026-06-19,0,9,0%,10.1
2026-06-20,0,10,0%,10.3
2026-06-21,0,2,0%,10
2026-06-22,0,3,0%,9
2026-06-23,0,2,0%,7
2026-06-24,0,4,0%,5.5
2026-06-25,0,10,0%,3.9
2026-06-26,0,15,0%,6.7
2026-06-27,0,11,0%,5.5
2026-06-28,0,8,0%,8.8
2026-06-29,1,6,16.67%,5.8
2026-06-30,1,10,10%,4.5
2026-07-01,0,3,0%,7.3
2026-07-02,0,5,0%,5.2
2026-07-03,1,3,33.33%,4.3
2026-07-04,5,10,50%,5.8
2026-07-05,2,4,50%,7.2
2026-07-06,0,2,0%,5
2026-07-07,0,4,0%,4.2
2026-07-08,0,1,0%,11
2026-07-09,1,5,20%,4.2
2026-07-10,1,5,20%,5.6
2026-07-11,2,6,33.33%,5.3
2026-07-12,0,3,0%,2
2026-07-13,3,16,18.75%,4.3
2026-07-14,1,12,8.33%,5.6
2026-07-15,4,20,20%,5
2026-07-16,3,18,16.67%,4.2
2026-07-17,9,31,29.03%,5
2026-07-18,3,9,33.33%,3.2
2026-07-19,3,8,37.5%,4.2
2026-07-20,1,10,10%,5.9
2026-07-21,6,55,10.91%,6.2
2026-07-22,13,342,3.8%,6.6
2026-07-23,4,354,1.13%,6.8
2026-07-24,9,807,1.12%,6.7
2026-07-25,10,674,1.48%,6.1
2026-07-26,12,716,1.68%,6.9
2026-07-27,13,633,2.05%,7
2026-07-28,19,736,2.58%,7
2026-07-29,13,939,1.38%,6.6
2026-07-30,19,1156,1.64%,6.4
2026-07-31,33,1795,1.84%,5.6
2026-08-01,40,3437,1.16%,5.1
2026-08-02,27,4556,0.59%,5.7
2026-08-03,16,2331,0.69%,6.6
2026-08-04,1,1207,0.08%,6.8
2026-08-05,12,1425,0.84%,6.5
2026-08-06,5,916,0.55%,6.4
2026-08-07,9,826,1.09%,6.1
2026-08-08,10,1036,0.97%,7.3
2026-08-09,15,1275,1.18%,7.6
