Country,Clicks,Impressions,CTR,Position
India,321,25064,1.28%,6.12
Nepal,3,21,14.29%,7.62
United States,2,153,1.31%,9.05
Philippines,1,28,3.57%,14.43
Jordan,1,13,7.69%,20.38
Iraq,1,6,16.67%,16.33
Nigeria,1,1,100%,1
Sudan,1,1,100%,1
Afghanistan,1,1,100%,10
United Arab Emirates,0,34,0%,6.03
Pakistan,0,29,0%,9.21
Russia,0,28,0%,10.43
United Kingdom,0,23,0%,15.78
Indonesia,0,22,0%,12.05
Vietnam,0,22,0%,18.41
Bangladesh,0,21,0%,8.48
Saudi Arabia,0,15,0%,9.53
Hong Kong,0,13,0%,7.92
Ukraine,0,11,0%,16.18
Malaysia,0,11,0%,18.36
Canada,0,10,0%,6.6
Oman,0,10,0%,7.2
Thailand,0,10,0%,23.4
France,0,9,0%,19.67
Turkey,0,8,0%,18.12
Kyrgyzstan,0,7,0%,5.43
Australia,0,7,0%,8.43
Spain,0,7,0%,8.86
Morocco,0,7,0%,19.71
Kuwait,0,6,0%,4.33
Georgia,0,6,0%,5.5
Brazil,0,6,0%,5.83
Qatar,0,5,0%,4.8
Singapore,0,5,0%,5.2
Mexico,0,5,0%,8.4
Netherlands,0,4,0%,12
Algeria,0,4,0%,24
Germany,0,3,0%,3.67
Austria,0,3,0%,6
Switzerland,0,3,0%,7.33
Ireland,0,3,0%,10
Belgium,0,2,0%,5.5
Chile,0,2,0%,5.5
China,0,2,0%,5.5
Belarus,0,2,0%,7
Egypt,0,1,0%,1
Kazakhstan,0,1,0%,1
Libya,0,1,0%,1
El Salvador,0,1,0%,1
Somalia,0,1,0%,1
Zambia,0,1,0%,1
Finland,0,1,0%,2
South Korea,0,1,0%,2
Armenia,0,1,0%,3
Greece,0,1,0%,5
Japan,0,1,0%,5
Uzbekistan,0,1,0%,5
Mauritius,0,1,0%,6
South Africa,0,1,0%,6
Argentina,0,1,0%,7
Sweden,0,1,0%,7
Puerto Rico,0,1,0%,8
Angola,0,1,0%,9
Bahrain,0,1,0%,9
Denmark,0,1,0%,9
Iran,0,1,0%,9
Norway,0,1,0%,9
Peru,0,1,0%,9
Tunisia,0,1,0%,9
Paraguay,0,1,0%,11
Fiji,0,1,0%,12
