id,year,paper,old_display_number,new_display_number,uuid,issues
6343,2018,1,1,1,75683684-88db-4528-b32b-1886e3678379,
6344,2018,1,2,2,15770150-705a-434b-a5f6-4a2bb76963e7,
6345,2018,1,3,3,0da421b9-2727-4fd8-9fda-3f29d1012e17,
6346,2018,1,4,4,79990d25-053b-4b75-a507-a90eb40910e1,
6347,2018,1,5,5,12ab5218-ec48-4047-8ed3-a33277b88e6f,
6348,2018,1,6,6,87a116c7-36b2-491c-b827-04c0ac9d59e0,
6349,2018,1,7,7,7ba40184-f8a3-4168-978f-6d320981e314,
6350,2018,1,8,8,28847a93-f5ea-4420-859b-9f85d164f793,
6351,2018,1,9,9,29a59f90-96b1-42d5-b7f2-a4fcc940ad33,
6352,2018,1,10,10,d53bee6c-14fd-4ce2-afcd-ce863fc91a32,
6353,2018,1,11,11,1615c498-db0c-48b5-a4ec-0f23b67b949d,
6354,2018,1,12,12,62b9e525-04a5-43e1-8758-4ea9f5d2fd23,
6355,2018,1,13,13,e9e03e4b-9443-41c8-a5a4-54c4c01db9f4,
6356,2018,1,14,14,4b8877c7-1525-4f3e-9cdb-16721a408282,
6357,2018,1,15,15,17853514-d9ad-4057-988b-336551c2effa,
6358,2018,1,16,16,d46bf9f7-20f7-4dd6-a5cf-64785f629a6b,
6359,2018,1,17,17,ea23c71f-18a6-4319-a73a-28a198baadb4,
6360,2018,1,18,18,817402e2-6765-47c5-9799-9852703cd88e,
6361,2018,1,19,19,70cadcb7-cc6d-49e4-aa08-049ad53aca83,
6362,2018,1,20,20,f7000ff5-c880-480d-833d-94213052cda9,
6363,2018,1,21,21,288f7791-aacf-4d5c-994b-36eb3a160e49,
6364,2018,1,22,22,4d5a218d-4d58-4882-ad39-bb796515060e,
6365,2018,1,23,23,d9a8959c-d225-46cc-9a31-8721dbfddcb0,
6366,2018,1,24,24,ec623a14-f6c3-4c35-85a1-3d4ec7f1f8c3,
6367,2018,1,25,25,c6da2f84-afea-449f-b9c2-c36f4341b7b4,
6368,2018,1,26,26,8e3526a9-5ea7-41f1-91db-2c9ea449e328,
6369,2018,1,27,27,07a187b0-2fcf-429d-803b-c89db24ec44e,
6370,2018,1,28,28,d30b72e1-d173-41a0-86c5-20d4d768761c,
6371,2018,1,29,29,a940211d-e27a-48d6-b1c7-ecb2c6f4c1de,
6372,2018,1,30,30,d67d6c25-4e77-475b-8f6e-09366fe51058,
6373,2018,1,31,31,1aad54bb-5e56-4df1-ba88-328acb1d40b6,
6374,2018,1,32,32,933844d1-384a-4953-879e-ddfd9c2b6653,
6375,2018,1,33,33,62f93cdb-0fda-4417-a669-fc063a46a3af,
6376,2018,1,34,34,fb418d9e-4780-4cb1-b85c-a3999d1418b4,
6377,2018,1,35,35,9d75f834-45d9-4882-8ba2-ac153e44900c,
6378,2018,1,36,36,1ca0604e-c22f-4506-8ba1-08e48d195cfb,
6379,2018,1,37,37,45993175-81b3-4449-81c1-becf5f4baca4,
6380,2018,1,38,38,557fd38d-03bb-4062-97ce-3da952c07785,
6381,2018,1,39,39,788cdc98-39ac-463f-9033-28c840c80390,
6382,2018,1,40,40,ad4d3dda-eef0-4414-b179-ca826d1868e4,
6383,2018,1,41,41,83cc6fd7-99e7-4d58-88d7-3888e959e7d9,
6384,2018,1,42,42,cf10690e-28da-450a-ba02-446205b66bcb,
6385,2018,1,43,43,654fa89e-e622-48cc-92c6-fc9827555a65,
6386,2018,1,44,44,d836c88c-8869-4847-b29e-033e74c8de8a,
6387,2018,1,45,45,aec6ddd0-2316-4bc7-a99c-017495fccceb,
6388,2018,1,46,46,622a3a26-4571-45b3-b100-b38fbc580ceb,
6389,2018,1,47,47,759fea53-c895-47ae-992d-3a4e2cd458ef,
6390,2018,1,48,48,df1e929a-61aa-470e-90ef-66edab5bbbeb,
6391,2018,1,49,49,643f991f-4d81-4801-8792-147ca80f4566,
6392,2018,1,50,50,d62a563b-5332-4a2d-8a37-7d7a361be34a,
6393,2018,1,51,51,1a41b3a7-7e90-457b-851e-2e62c0a4e16f,
6394,2018,1,52,52,2cfe23c6-f2a3-4b7a-9e0c-e7c6ad33f85b,
6395,2018,1,53,53,0e166c83-953f-4983-8c53-32bc94f568b9,
6396,2018,1,54,54,4fcb744a-6d15-45ee-b42d-a7419a8c6aef,
6397,2018,1,55,55,363fd918-0467-4520-a8fe-4a63a22dda53,
6398,2018,1,56,56,009fa884-5b69-4044-81cd-28fa7005bf14,
6399,2018,1,57,57,ec9df8ed-172a-4d2f-a0d6-2dec2058bd28,
6400,2018,1,58,58,6e34022d-6b58-4730-a441-9185fea98a57,
6401,2018,1,59,59,7dbf7208-ecfe-4920-ad0a-3fca2e872bf8,
6402,2018,1,60,60,d47cad61-df53-42ae-b96c-73faf1cb0039,
6403,2018,1,61,61,f5c0a7cd-ba46-4c69-8fee-2d70cfc28c1c,
6404,2018,1,62,62,06f8a530-2f7f-456b-ac06-60343058cab2,
6405,2018,1,63,63,4b883d6f-90f5-4251-9688-0948cf3e952b,
6406,2018,1,64,64,68082aa1-32ad-4aaa-a33b-138858167f99,
6407,2018,1,65,65,3c4fe45c-64c6-4e70-9a68-17a85cba5369,
6408,2018,1,66,66,3a5206b2-2f83-4dbe-ba25-30086702aaae,
6409,2018,1,67,67,b38075b6-52fa-4583-bdcc-9e279a4e0568,
6410,2018,1,68,68,b9028950-7dca-4fc3-b560-619ab12d4388,
6411,2018,1,69,69,8776a90f-e159-4b50-be91-c2c1911c1819,
6412,2018,1,70,70,8c4135d1-fd7a-49f5-bdbe-464fd0c0585d,
6413,2018,1,71,71,2bd6cb0b-ca90-462c-a99c-0b91e0ead818,
6414,2018,1,72,72,aa30a70b-1321-4de6-ac56-3de61f013638,
6415,2018,1,73,73,dcefaffd-174e-4338-9c20-b35eff5d376c,
6416,2018,1,74,74,8443eed4-95eb-4b69-8da7-f0e1ec333d7f,
6417,2018,1,75,75,3f462012-97fa-4d13-bb8e-5c707c4d6d46,
6418,2018,1,76,76,ca18dabf-22cd-4a32-9320-d600df5ea6eb,
6419,2018,1,77,77,b36d7eb7-af17-400e-b76b-31e133cf5ca0,
6420,2018,1,78,78,1569d9e2-4ee7-4cfa-810e-20651f8b9f0e,
6421,2018,1,79,79,af14c90a-9730-4daa-a6f5-5ea7c3b4972b,
6422,2018,1,80,80,5b1b92c3-8770-45f6-9cdb-fea242ff2289,
6423,2018,1,81,81,ecd22a38-9cc3-4d77-990b-2ba061cbfc98,
6424,2018,1,82,82,5bb598d5-3c62-4d1c-87e5-98745144a408,
6425,2018,1,83,83,809b6c73-3294-4471-ae13-f0a8b819a6c4,
6426,2018,1,84,84,41581e72-5560-4978-bdeb-e287d9319b52,
6427,2018,1,85,85,923c8a84-28dc-4068-9a31-c45330ccf84f,
6428,2018,1,86,86,472fb9ae-d926-45eb-9048-4dd06bb4000b,
6429,2018,1,87,87,168b3e23-4bd6-4301-8427-5c773db9bc4e,
6430,2018,1,88,88,8dcce247-fc33-4993-b286-f03cab824fbd,
6431,2018,1,89,89,c7769b18-5255-4850-8e00-9f6f94e12b78,
6432,2018,1,90,90,671b6303-5f0c-4b18-aa62-763f7c2ec3bb,
6433,2018,1,91,91,224e722f-523c-40d8-b16c-2255e4334ced,
6434,2018,1,92,92,2d46b3be-2eee-454e-82ea-da39b217e705,
6435,2018,1,93,93,fb5d709a-9ff5-45a6-8b40-d80539133770,
6436,2018,1,94,94,3198c9fe-e5b1-4e3b-9b62-c5e320f40680,
6437,2018,1,95,95,b6fd0f87-b921-4f90-8e0e-631c571402ec,
6438,2018,1,96,96,40e6dca6-4d1d-40cf-a963-3bb21b5bed7b,
6439,2018,1,97,97,168a7a9f-ad99-4616-88f5-67413e521ee7,
6440,2018,1,98,98,153e4456-3319-46b0-ac6d-52063e26812d,
6441,2018,1,99,99,e1fe0a74-f4db-46b8-b337-a65b86a93649,
6442,2018,1,100,100,5579b1bc-4dad-4365-a745-ab4bde73565e,
6443,2018,1,101,101,09c0fee4-6f3f-4e6a-afb6-e8fc6050d513,
6444,2018,1,102,102,67095d9c-3e98-4270-96e0-55ec70ee58d7,
6445,2018,1,103,103,b25d134c-35c8-42ca-963d-7e41edef161b,
6446,2018,1,104,104,3c263456-becb-49f1-acab-61bba5af069a,
6447,2018,1,105,105,d870d030-e09a-4c2d-a82c-081abe8ce860,
6448,2018,1,106,106,44831799-9559-4cc6-b7ce-3cc86a7c0369,
6449,2018,1,107,107,8656ca44-94d7-45cd-ba29-c2983312843d,
6450,2018,1,108,108,7005dd51-f923-4d47-9064-6fe9aca65ee0,
6451,2018,1,109,109,d771f74a-ff8f-4217-ad8e-3ace7bf61afc,
6452,2018,1,110,110,30fa6dca-f863-47b9-918d-c753472596f0,
6453,2018,1,111,111,be7504a3-6a8f-4e33-b8e9-e97849b73824,
6454,2018,1,112,112,db9f4e1e-c46b-432d-ba17-d34b3a81a855,
6455,2018,1,113,113,79e1f228-56f0-41d9-b5cf-8d8f11ab89c6,
6456,2018,1,114,114,31143a3f-563b-4021-8406-c32618ca75b3,
6457,2018,1,115,115,b38f84e4-1c36-4493-88a5-33c1b1964f80,
6458,2018,1,116,116,2af8949f-8efb-42d1-82d9-790add37fd34,
6459,2018,1,117,117,caa4b574-0766-4c51-bcdc-56b654c79b18,
6460,2018,1,118,118,766ca6fe-7028-43d3-bf32-19e3d788529c,
6461,2018,1,119,119,28218ac8-204b-4337-b179-3256d7c3dc23,
6462,2018,1,120,120,bf674298-c086-4b9a-9d02-367d7d501b44,
6463,2018,2,1,1,97b9a0c0-99b2-4308-aff0-9d41f9f6d70e,
6464,2018,2,2,2,43a846b6-80dc-4952-8066-efaf16acda10,
6465,2018,2,3,3,a97439c7-5b95-4176-aad1-58e56f440cc8,
6466,2018,2,4,4,6898ce9f-3088-4daf-8a08-1bd82a677ed8,
6467,2018,2,5,5,bfacf9f0-9cd2-4c49-bd20-9add21b2e903,
6468,2018,2,6,6,78a97e3c-ae9f-4a0a-b290-5b35c3b4179a,
6469,2018,2,7,7,a57ec20c-7ec3-4537-8516-e6afd3be51e3,
6470,2018,2,8,8,c8d87e65-f6b6-43c3-9aed-67ef838402df,
6471,2018,2,9,9,b23b5a5b-b9db-41ea-9655-6e5f037417be,
6472,2018,2,10,10,a21c5b7e-fbf8-48e7-9ea2-4951dcfc64e0,
6473,2018,2,11,11,af10537b-6b61-4a2a-853d-70f52ebdf999,
6474,2018,2,12,12,cb781b37-d973-4f06-8ecf-bf6143ba05c8,
6475,2018,2,13,13,3b56ffa5-d1f2-4cff-9b80-d8784fcb0699,
6476,2018,2,14,14,9f81f84d-afeb-4ba7-a298-6104c978a6e1,
6477,2018,2,15,15,6f582c18-11d4-4e5e-b332-1d8198f86757,
6478,2018,2,16,16,7f62a6f9-e479-4f2f-9916-0636b9dff528,
6479,2018,2,17,17,b72cab5f-84b1-40c1-96c4-2ecdea49a292,
6480,2018,2,18,18,8d2a9ae4-fa9e-4d67-b123-6fb317a94f4a,
6481,2018,2,19,19,d50b878f-666e-44ea-ada6-4324d73044f3,
6482,2018,2,20,20,8cd01406-c785-4af1-b44e-7aaee05d0cb3,
6483,2018,2,21,21,54e61608-7d78-4b75-8982-adc216a43d41,
6484,2018,2,22,22,4be402c9-ff7f-47cf-955f-ba025a9f9d6a,
6485,2018,2,23,23,6f97434e-4077-4eeb-81b3-e2e427c62a39,
6486,2018,2,24,24,35501332-7637-4baf-b020-c4e5cac10777,
6487,2018,2,25,25,effe9649-aeb1-4b16-86e4-51a9e8bd7b5d,
6488,2018,2,26,26,b20f0db4-07c4-4aef-a591-4f0593df4ac8,
6489,2018,2,27,27,c5d6d528-06d3-4ffc-9ba7-2532fd966e25,
6490,2018,2,28,28,0c6e0e53-4643-44cb-8550-b95fccf055f0,
6491,2018,2,29,29,2f20d5c6-e50c-4e8e-9f1b-fe136adf6fff,
