Date,Clicks,Impressions,CTR,Position
2026-04-03,0,0,,
2026-04-04,0,0,,
2026-04-05,0,0,,
2026-04-06,0,0,,
2026-04-07,0,0,,
2026-04-08,0,0,,
2026-04-09,0,0,,
2026-04-10,0,0,,
2026-04-11,0,0,,
2026-04-12,0,0,,
2026-04-13,0,0,,
2026-04-14,0,0,,
2026-04-15,0,0,,
2026-04-16,0,0,,
2026-04-17,0,0,,
2026-04-18,0,1,0%,10
2026-04-19,0,0,,
2026-04-20,0,1,0%,1
2026-04-21,0,3,0%,4.3
2026-04-22,0,1,0%,11
2026-04-23,1,2,50%,1.5
2026-04-24,0,0,,
2026-04-25,0,0,,
2026-04-26,0,1,0%,11
2026-04-27,0,0,,
2026-04-28,0,0,,
2026-04-29,0,1,0%,10
2026-04-30,1,1,100%,2
2026-05-01,0,0,,
2026-05-02,0,0,,
2026-05-03,0,2,0%,4.5
2026-05-04,0,0,,
2026-05-05,0,1,0%,10
2026-05-06,0,3,0%,2.3
2026-05-07,0,0,,
2026-05-08,0,0,,
2026-05-09,0,0,,
2026-05-10,0,3,0%,7.7
2026-05-11,0,1,0%,5
2026-05-12,0,1,0%,5
2026-05-13,0,0,,
2026-05-14,1,3,33.33%,1.7
2026-05-15,0,2,0%,5
2026-05-16,0,1,0%,10
2026-05-17,0,3,0%,7.3
2026-05-18,0,0,,
2026-05-19,0,5,0%,11
2026-05-20,0,6,0%,5.5
2026-05-21,0,1,0%,9
2026-05-22,0,1,0%,28
2026-05-23,0,1,0%,10
2026-05-24,0,2,0%,9.5
2026-05-25,0,1,0%,9
2026-05-26,0,3,0%,10
2026-05-27,0,1,0%,1
2026-05-28,0,2,0%,5.5
2026-05-29,1,4,25%,10.5
2026-05-30,0,3,0%,10.7
2026-05-31,0,7,0%,8
2026-06-01,0,5,0%,8
2026-06-02,0,6,0%,6.7
2026-06-03,0,11,0%,8.2
2026-06-04,0,9,0%,8.6
2026-06-05,1,10,10%,6.7
2026-06-06,0,7,0%,7.6
2026-06-07,0,6,0%,7.3
2026-06-08,0,8,0%,9.9
2026-06-09,0,9,0%,8.6
2026-06-10,0,6,0%,6.2
2026-06-11,1,13,7.69%,7.3
