Country,Clicks,Impressions,CTR,Position
India,568,48795,1.16%,6.78
United States,7,840,0.83%,8.37
Pakistan,4,113,3.54%,8.16
Nepal,4,68,5.88%,6.46
Philippines,2,66,3.03%,20.5
Kyrgyzstan,1,29,3.45%,6.41
Brazil,1,23,4.35%,4.61
Jordan,1,19,5.26%,22.84
Germany,1,12,8.33%,7
Iraq,1,10,10%,13
Sudan,1,7,14.29%,6.14
Afghanistan,1,4,25%,6
Denmark,1,3,33.33%,5.33
Nigeria,1,1,100%,1
Barbados,1,1,100%,15
United Arab Emirates,0,140,0%,6.69
Hong Kong,0,92,0%,7.17
United Kingdom,0,75,0%,11.04
Russia,0,71,0%,7.92
Bangladesh,0,49,0%,10.98
Indonesia,0,46,0%,18.48
Vietnam,0,35,0%,23.97
Georgia,0,29,0%,5.52
Canada,0,29,0%,7.86
Saudi Arabia,0,29,0%,8.41
Spain,0,27,0%,14.7
Australia,0,24,0%,12
Oman,0,23,0%,8.83
France,0,23,0%,18.96
Turkey,0,20,0%,34.15
Malaysia,0,19,0%,31.58
Netherlands,0,17,0%,7.41
Ukraine,0,17,0%,16.53
Qatar,0,16,0%,6.25
Thailand,0,16,0%,23.62
Kazakhstan,0,15,0%,5.07
Singapore,0,15,0%,6.07
Kuwait,0,15,0%,10.6
Kenya,0,13,0%,4.54
Mauritius,0,13,0%,4.54
China,0,13,0%,7.31
Egypt,0,13,0%,9.62
Mexico,0,11,0%,7.64
Italy,0,10,0%,5.8
Iran,0,10,0%,7.5
Morocco,0,9,0%,19.33
Switzerland,0,7,0%,5.71
South Korea,0,7,0%,7.71
Japan,0,7,0%,15.14
Algeria,0,7,0%,37.29
Bahrain,0,6,0%,5.67
Antigua & Barbuda,0,5,0%,13.2
Zambia,0,4,0%,4.75
Norway,0,4,0%,5
Austria,0,4,0%,5.5
Belarus,0,4,0%,6.25
Uzbekistan,0,4,0%,7.5
Uganda,0,4,0%,8
Bosnia & Herzegovina,0,3,0%,4
Taiwan,0,3,0%,4
Chile,0,3,0%,4.33
Ghana,0,3,0%,5.67
Argentina,0,3,0%,8.33
Lithuania,0,3,0%,8.67
Ireland,0,3,0%,10
Ethiopia,0,2,0%,1
Somalia,0,2,0%,2.5
Libya,0,2,0%,4.5
Trinidad & Tobago,0,2,0%,4.5
Tunisia,0,2,0%,5
Armenia,0,2,0%,5.5
Belgium,0,2,0%,5.5
Moldova,0,2,0%,5.5
Finland,0,2,0%,6
Sweden,0,2,0%,6
Azerbaijan,0,2,0%,7
South Africa,0,2,0%,7.5
Maldives,0,2,0%,8
Lebanon,0,2,0%,9
Myanmar (Burma),0,2,0%,14
Panama,0,1,0%,1
Poland,0,1,0%,1
French Polynesia,0,1,0%,1
El Salvador,0,1,0%,1
South Sudan,0,1,0%,1
Tajikistan,0,1,0%,1
Ecuador,0,1,0%,2
Romania,0,1,0%,2
Greece,0,1,0%,5
Hungary,0,1,0%,5
Namibia,0,1,0%,5
Estonia,0,1,0%,6
Israel,0,1,0%,6
Senegal,0,1,0%,6
Jamaica,0,1,0%,8
Puerto Rico,0,1,0%,8
Yemen,0,1,0%,8
Angola,0,1,0%,9
Bahamas,0,1,0%,9
Curaçao,0,1,0%,9
Malawi,0,1,0%,9
Peru,0,1,0%,9
Côte d’Ivoire,0,1,0%,10
Guyana,0,1,0%,10
Palestine,0,1,0%,10
Paraguay,0,1,0%,11
Fiji,0,1,0%,12
Slovakia,0,1,0%,20
